green_roof_area,building_area,ratio_green_area,construction_year,roof_height,ground_elev,digitized,borough,xcoord,ycoord,area_type
643,2633,0.24,1900,68,16,0,MN,-73.98114,40.72137,residential
76,1366,0.06,1850,45,22,0,MN,-73.9977,40.73412,residential
1912,14670,0.13,1990,378,10,1,MN,-74.01719,40.70619,residential
4412,35714,0.12,1990,15,15,0,BK,-73.95593,40.73695,residential
407,9573,0.04,1990,164,78,0,MN,-73.98024,40.78117,industrial
2813,34017,0.08,1990,83,11,0,MN,-74.01878,40.70594,commercial
10,950,0.01,1900,55,27,1,MN,-73.99938,40.7374,residential
10549,55894,0.19,1990,319,11,0,QN,-73.95619,40.74564,residential
1026,14762,0.07,1990,282,46,0,MN,-73.94963,40.7856,industrial
1936,12208,0.16,1900,138,42,1,MN,-73.99102,40.74032,residential
651,1096,0.59,1900,25,61,1,BK,-73.95289,40.65977,commercial
384,1342,0.29,1900,60,34,0,MN,-73.95583,40.80485,residential
2411,15877,0.15,1990,49,55,0,BK,-73.97282,40.68183,residential
2407,14062,0.17,1990,57,115,0,BK,-73.93144,40.66989,commercial
1580,13755,0.11,1990,136,13,0,MN,-73.97649,40.7237,residential
2164,6057,0.36,1930,75,81,0,BX,-73.89173,40.84747,residential
502,33307,0.02,1990,68,18,0,BK,-73.96345,40.71823,residential
7004,49623,0.14,1990,72,6,0,BK,-73.95295,40.71723,industrial
13361,62229,0.21,1990,155,9,0,MN,-74.01203,40.71556,industrial
1681,10554,0.16,1990,118,74,0,BX,-73.90555,40.85378,commercial
1209,2568,0.47,1900,39,22,1,BX,-73.92097,40.81132,residential
1458,6008,0.24,1930,148,40,1,MN,-73.98962,40.7591,residential
55,723,0.08,1900,39,49,1,BK,-73.99477,40.67901,commercial
527,12132,0.04,1990,119,28,0,BK,-73.98184,40.67972,residential
160,8083,0.02,1930,136,39,1,MN,-73.98983,40.75914,residential
574,1633,0.35,1900,37,40,0,BK,-73.99762,40.69308,commercial
357,1501,0.24,1900,43,14,0,MN,-74.00676,40.73866,residential
1396,52079,0.03,1930,122,6,0,MN,-74.00825,40.73907,residential
311,5802,0.05,1960,51,66,0,MN,-73.96007,40.76984,commercial
66025,224776,0.29,1990,50,7,1,BK,-74.01159,40.67161,residential
1074,7161,0.15,1990,79,62,1,BX,-73.89422,40.82409,industrial
139,1496,0.09,1990,67,24,1,MN,-73.98446,40.71879,residential
889,5673,0.16,1900,105,73,0,MN,-73.98211,40.77952,residential
404,22476,0.02,1960,188,24,0,MN,-73.99786,40.73627,commercial
4458,26623,0.17,1930,67,23,0,QN,-73.94117,40.75174,commercial
574,2930,0.2,1960,103,54,0,MN,-73.98149,40.75804,industrial
1071,32592,0.03,1930,25,16,1,BK,-73.90272,40.65601,commercial
271,4259,0.06,1900,91,13,0,MN,-74.00791,40.71961,public
1125,2276,0.49,1930,16,21,0,MN,-73.98329,40.72305,commercial
2539,16479,0.15,1990,217,78,0,MN,-73.9811,40.76972,residential
4483,24645,0.18,1990,506,80,0,MN,-73.98177,40.77015,commercial
109,1166,0.09,1850,44,28,0,MN,-74.00378,40.73537,commercial
235,1370,0.17,1900,55,139,0,BK,-73.9724,40.67072,residential
270,2715,0.1,1900,69,43,0,MN,-73.95589,40.77255,residential
1852,11773,0.16,1990,143,40,0,BK,-73.98741,40.68915,commercial
1675,30625,0.05,1990,96,42,0,MN,-73.99192,40.72429,commercial
1179,2914,0.4,1900,85,71,0,MN,-73.96282,40.77585,residential
1519,7406,0.21,1900,79,12,0,MN,-74.00222,40.72316,commercial
1902,8054,0.24,1900,124,32,0,MN,-73.99589,40.74489,industrial
365,5636,0.06,1900,31,10,0,BK,-73.98689,40.68188,residential
3071,28794,0.11,1990,340,25,0,MN,-73.98939,40.77562,industrial
743,6622,0.11,1990,66,132,0,BX,-73.92047,40.84742,residential
12907,104089,0.12,1990,185,22,0,QN,-73.83515,40.75746,residential
1650,25382,0.07,1960,370,52,0,MN,-73.98302,40.75801,commercial
267,1224,0.22,1900,60,76,0,MN,-73.9797,40.77851,commercial
1481,9729,0.15,1990,248,6,0,MN,-74.00755,40.74623,residential
1295,7458,0.17,1900,81,27,0,MN,-74.008,40.71522,commercial
424,5686,0.07,1900,80,15,1,MN,-74.00913,40.71809,commercial
776,12035,0.06,1900,227,49,0,MN,-73.98878,40.75462,commercial
392,4874,0.08,1900,74,12,0,MN,-74.00735,40.72215,industrial
2910,7036,0.41,1960,96,58,1,BK,-73.96427,40.69137,commercial
2290,10512,0.22,1900,17,134,0,MN,-73.96298,40.80977,residential
160,1588,0.1,1990,18,34,0,BK,-73.99038,40.68849,residential
6713,10654,0.63,1960,19,16,1,QN,-73.94495,40.75218,residential
